data;time-casa;gol-casa;chutes-casa;chutesgol-casa;possebola-casa;passes-casa;Precisaopasse-casa;faltas-casa;cartaoamarelo-casa;cartaovermelho-casa;impedimentos-casa;escanteios-casa;time-fora;gol-fora;chutes-fora;chutesgol-fora;possebola-fora;passes-fora;Precisaopasse-fora;faltas-fora;cartaoamarelo-fora;cartaovermelho-fora;impedimentos-fora;escanteios-fora
29/05/21;Cuiabá;2;14;2;60%;490;85%;14;1;0;0;9;Juventude;2;7;3;40%;342;77%;14;3;0;1;1
29/05/21;São Paulo;0;7;3;72%;636;87%;10;1;0;2;4;Fluminense;0;11;5;28%;251;70%;12;2;0;2;5
30/05/21;Atlético-MG;1;13;4;55%;398;81%;16;2;0;2;5;Fortaleza;2;18;5;45%;329;82%;19;4;0;3;4
29/05/21;Bahia;3;5;3;34%;304;75%;18;3;0;2;4;Santos;0;12;4;66%;563;88%;9;3;0;2;11
30/05/21;Flamengo;1;14;10;62%;503;87%;25;2;0;0;3;Palmeiras;0;12;5;38%;300;81%;21;3;0;3;4
30/05/21;Athletico-PR;1;11;5;57%;557;83%;18;1;0;0;3;América-MG;0;14;4;43%;429;81%;9;2;0;0;1
30/05/21;Internacional;2;11;4;57%;485;86%;24;4;0;0;6;Sport Recife;2;8;5;43%;362;82%;15;2;0;2;1
30/05/21;Chapecoense;0;10;2;43%;428;79%;9;1;0;0;5;Bragantino;3;18;8;57%;552;87%;12;0;0;2;7
30/05/21;Ceará SC;3;12;6;35%;277;70%;17;3;0;2;5;Grêmio;2;12;3;65%;520;83%;18;3;0;0;4
30/05/21;Corinthians;0;15;6;61%;518;83%;18;5;0;1;10;Atlético-GO;1;7;2;39%;351;72%;14;3;0;5;3
06/06/21;América-MG;0;10;4;56%;483;81%;12;2;0;4;6;Corinthians;1;6;4;44%;386;77%;19;3;0;0;4
06/06/21;Fluminense;1;8;3;44%;394;84%;22;2;0;0;0;Cuiabá;0;10;4;56%;489;84%;15;1;0;4;1
05/06/21;Atlético-GO;2;9;4;38%;291;74%;16;4;0;1;3;São Paulo;0;14;3;62%;459;85%;14;5;0;1;12
05/06/21;Santos;3;15;5;57%;548;84%;18;3;0;1;4;Ceará SC;1;6;3;43%;419;82%;19;1;0;3;1
05/06/21;Bragantino;3;24;6;61%;442;83%;12;2;0;1;9;Bahia;3;9;3;39%;295;72%;13;4;0;3;2
12/06/21;Santos;0;18;2;76%;703;89%;14;2;0;0;8;Juventude;0;2;0;24%;236;70%;20;3;0;3;0
06/06/21;Juventude;0;13;1;59%;519;88%;14;0;0;1;5;Athletico-PR;3;11;5;41%;366;82%;27;2;0;3;1
06/06/21;Fortaleza;5;14;8;52%;378;80%;19;1;0;2;1;Internacional;1;5;3;48%;353;81%;21;4;2;1;4
06/06/21;Sport Recife;0;8;1;48%;448;88%;18;3;0;1;4;Atlético-MG;1;10;1;52%;474;87%;15;2;0;0;7
06/06/21;Palmeiras;3;17;4;67%;550;88%;10;2;0;1;5;Chapecoense;1;6;4;33%;279;76%;11;0;0;2;3
13/06/21;Flamengo;2;20;6;65%;672;88%;17;0;0;3;4;América-MG;0;9;1;35%;366;77%;18;0;0;1;2
12/06/21;Palmeiras;1;12;3;52%;491;85%;14;3;0;4;4;Corinthians;1;9;4;48%;458;85%;14;0;0;2;4
13/06/21;Atlético-MG;1;9;2;42%;382;84%;14;0;0;2;4;São Paulo;0;5;0;58%;514;87%;22;1;0;1;5
13/06/21;Grêmio;0;10;1;64%;610;87%;21;5;0;0;6;Athletico-PR;1;9;4;36%;350;78%;12;4;0;0;4
13/06/21;Bahia;0;14;3;67%;490;84%;14;4;0;2;6;Internacional;1;6;4;33%;244;68%;16;4;1;2;5
13/06/21;Bragantino;2;16;5;47%;390;78%;11;3;0;0;10;Fluminense;2;15;4;53%;437;77%;8;1;0;2;10
13/06/21;Chapecoense;0;8;3;38%;308;76%;16;2;0;0;2;Ceará SC;0;14;6;62%;511;84%;14;2;0;1;7
13/06/21;Fortaleza;1;13;7;59%;480;84%;22;3;0;2;3;Sport Recife;0;5;0;41%;337;74%;16;3;1;0;3
16/06/21;São Paulo;1;13;3;52%;423;83%;9;3;1;3;9;Chapecoense;1;7;3;48%;419;78%;13;2;0;3;1
16/06/21;Internacional;0;11;1;58%;561;86%;13;3;0;1;8;Atlético-MG;1;6;2;42%;437;80%;13;1;0;0;1
16/06/21;Corinthians;1;5;2;42%;367;77%;13;2;0;2;9;Bragantino;2;21;5;58%;494;85%;15;0;0;1;12
16/06/21;Juventude;0;11;2;42%;379;84%;11;0;0;0;7;Palmeiras;3;13;5;58%;527;87%;24;3;0;1;4
17/06/21;Sport Recife;1;10;4;33%;301;71%;16;5;0;1;2;Grêmio;0;14;7;67%;600;87%;11;4;0;2;7
17/06/21;Ceará SC;1;13;3;62%;428;79%;19;3;0;0;7;Bahia;2;9;3;38%;271;64%;16;5;0;0;2
17/06/21;América-MG;0;20;6;57%;413;82%;16;1;0;2;3;Cuiabá;0;8;3;43%;322;75%;16;1;0;3;2
17/06/21;Atlético-GO;0;9;1;57%;378;79%;18;3;0;0;9;Fortaleza;0;5;1;43%;298;73%;13;1;0;6;4
17/06/21;Fluminense;1;9;5;29%;249;65%;14;4;0;1;2;Santos;0;18;8;71%;616;86%;9;3;0;1;9
20/06/21;Palmeiras;2;15;6;58%;422;77%;15;3;0;0;7;América-MG;1;12;5;42%;316;72%;10;4;0;3;5
20/06/21;Bahia;0;12;2;52%;535;86%;10;1;0;0;3;Corinthians;0;10;3;48%;505;83%;18;3;0;2;8
19/06/21;Flamengo;2;20;9;68%;561;87%;15;2;0;0;14;Bragantino;3;9;4;32%;272;76%;13;3;0;2;2
20/06/21;Juventude;1;8;4;51%;508;84%;16;4;0;2;3;Sport Recife;0;13;2;49%;484;84%;9;0;0;1;5
20/06/21;Santos;2;11;5;38%;271;66%;22;2;0;3;3;São Paulo;0;8;1;62%;413;75%;20;4;0;2;7
20/06/21;Athletico-PR;2;12;3;49%;440;83%;17;2;0;2;4;Atlético-GO;1;10;3;51%;477;82%;15;2;0;1;3
20/06/21;Internacional;1;10;3;62%;407;74%;16;2;0;1;6;Ceará SC;1;14;2;38%;252;64%;23;3;0;1;7
20/06/21;Fortaleza;1;16;2;63%;534;86%;14;3;0;6;7;Fluminense;1;4;3;37%;321;74%;17;0;0;2;3
23/06/21;São Paulo;2;17;7;66%;614;87%;18;1;0;3;5;Cuiabá;2;5;3;34%;323;72%;14;1;0;0;2
23/06/21;Atlético-GO;1;9;2;49%;390;82%;22;3;0;0;6;Fluminense;0;3;2;51%;394;80%;17;3;0;4;5
23/06/21;Bragantino;3;12;6;47%;428;82%;13;3;0;1;5;Palmeiras;1;17;5;53%;446;81%;13;3;0;1;10
21/06/21;Atlético-MG;1;14;2;67%;593;88%;9;1;0;0;9;Chapecoense;1;13;1;33%;281;72%;10;1;0;2;7
23/06/21;Flamengo;2;19;7;63%;470;84%;18;1;0;1;11;Fortaleza;1;10;5;37%;286;73%;15;1;0;2;2
24/06/21;Corinthians;2;16;3;51%;502;86%;8;0;0;1;4;Sport Recife;1;9;3;49%;475;84%;17;3;0;0;5
24/06/21;Bahia;2;20;7;70%;577;86%;12;2;0;3;9;Athletico-PR;1;9;4;30%;256;64%;8;1;2;1;2
24/06/21;Chapecoense;1;11;5;53%;366;78%;12;2;1;2;9;Internacional;2;25;11;47%;345;77%;19;3;2;3;9
24/06/21;América-MG;1;12;2;54%;459;84%;17;1;1;0;8;Juventude;1;8;3;46%;408;82%;16;2;0;1;3
24/06/21;Ceará SC;2;16;8;33%;262;67%;16;3;0;1;6;Atlético-MG;1;16;6;67%;541;84%;16;4;0;5;7
27/06/21;Athletico-PR;2;18;5;62%;519;84%;12;1;0;0;6;Chapecoense;2;12;5;38%;313;72%;15;1;0;2;5
24/06/21;Grêmio;2;19;6;47%;415;81%;21;2;0;2;7;Santos;2;6;3;53%;483;84%;14;3;0;2;1
27/06/21;Fluminense;1;15;5;46%;449;85%;14;3;1;1;8;Corinthians;1;10;4;54%;535;86%;11;1;0;0;5
27/06/21;Palmeiras;3;19;8;58%;437;80%;10;3;0;6;7;Bahia;2;18;4;42%;331;74%;16;4;0;1;7
27/06/21;Juventude;1;8;4;35%;284;51%;17;2;0;4;5;Flamengo;0;13;2;65%;510;72%;12;1;0;1;10
27/06/21;Santos;2;11;6;49%;406;79%;20;4;0;1;4;Atlético-MG;0;11;3;51%;408;78%;16;2;1;4;6
27/06/21;Ceará SC;1;18;7;36%;268;69%;20;4;0;1;3;São Paulo;1;11;2;64%;461;83%;12;6;0;5;6
