"data";"time.casa";"gol.casa";"chutes.casa";"chutesgol.casa";"possebola.casa";"passes.casa";"Precisaopasse.casa";"faltas.casa";"cartaoamarelo.casa";"cartaovermelho.casa";"impedimentos.casa";"escanteios.casa";"time.fora";"gol.fora";"chutes.fora";"chutesgol.fora";"possebola.fora";"passes.fora";"Precisaopasse.fora";"faltas.fora";"cartaoamarelo.fora";"cartaovermelho.fora";"impedimentos.fora";"escanteios.fora"
"09/04/22";"Atlético-GO";1;10;3;"44%";403;"82%";7;3;0;1;4;"Flamengo";1;12;3;"56%";502;"87%";11;2;0;2;10
"09/04/22";"Fluminense";0;26;6;"66%";545;"88%";14;1;0;0;8;"Santos";0;3;1;"34%";286;"71%";18;0;0;4;1
"10/04/22";"Botafogo";1;9;4;"56%";474;"84%";6;1;0;0;2;"Corinthians";3;15;8;"44%";382;"79%";18;4;0;1;4
"10/04/22";"Coritiba";3;17;9;"52%";449;"85%";10;2;0;3;7;"Goiás";0;7;0;"48%";421;"83%";12;4;0;2;3
"09/04/22";"Palmeiras";2;17;4;"56%";377;"81%";17;4;0;3;11;"Ceará SC";3;19;9;"44%";309;"69%";14;8;1;0;8
"10/04/22";"Avaí";1;13;2;"59%";541;"84%";20;3;0;3;6;"América-MG";0;7;1;"41%";395;"75%";18;3;2;2;1
"11/04/22";"Juventude";2;13;7;"51%";420;"81%";16;4;0;5;5;"Bragantino";2;15;2;"49%";418;"79%";17;5;0;1;4
"10/04/22";"Fortaleza";0;22;5;"66%";444;"84%";22;2;0;1;7;"Cuiabá";1;9;4;"34%";245;"69%";23;3;0;0;1
"10/04/22";"São Paulo";4;18;8;"55%";517;"88%";17;1;0;2;5;"Athletico-PR";0;7;0;"45%";435;"86%";14;3;0;2;5
"10/04/22";"Atlético-MG";2;15;5;"52%";534;"87%";12;2;0;2;3;"Internacional";0;6;1;"48%";491;"85%";18;4;0;0;3
"16/04/22";"Corinthians";3;14;4;"55%";597;"86%";22;1;0;1;7;"Avaí";0;15;5;"45%";506;"85%";12;1;0;5;2
"16/04/22";"Goiás";1;9;6;"24%";198;"60%";16;4;0;0;2;"Palmeiras";1;22;6;"76%";607;"84%";7;0;0;2;6
"16/04/22";"América-MG";4;22;9;"45%";378;"81%";19;3;0;2;5;"Juventude";1;13;4;"55%";444;"81%";11;0;1;2;5
"16/04/22";"Cuiabá";0;5;1;"38%";333;"73%";18;2;0;1;2;"Fluminense";1;12;3;"62%";525;"86%";14;1;0;0;5
"17/04/22";"Santos";2;15;7;"35%";287;"77%";22;2;0;2;4;"Coritiba";1;22;6;"65%";519;"87%";10;4;0;0;7
"17/04/22";"Ceará SC";1;18;4;"65%";469;"80%";16;1;1;1;4;"Botafogo";3;11;3;"35%";257;"68%";15;4;0;2;2
"17/04/22";"Internacional";2;18;5;"52%";476;"82%";15;5;0;0;8;"Fortaleza";1;7;3;"48%";453;"77%";13;5;0;3;5
"17/04/22";"Athletico-PR";0;12;3;"44%";408;"81%";9;2;0;1;2;"Atlético-MG";1;17;5;"56%";521;"84%";14;3;0;0;5
"17/04/22";"Bragantino";4;18;8;"59%";485;"88%";12;1;0;1;13;"Atlético-GO";0;5;3;"41%";366;"79%";9;4;0;2;2
"17/04/22";"Flamengo";3;19;8;"53%";420;"87%";17;2;0;2;2;"São Paulo";1;6;1;"47%";372;"84%";25;6;0;1;3
"20/04/22";"Flamengo";0;17;2;"57%";444;"86%";15;3;0;1;9;"Palmeiras";0;10;2;"43%";347;"76%";21;4;0;1;6
"23/04/22";"Athletico-PR";1;10;2;"41%";354;"75%";15;4;0;2;6;"Flamengo";0;11;6;"59%";500;"81%";10;2;0;1;5
"23/04/22";"Palmeiras";3;20;7;"44%";339;"78%";13;1;0;3;12;"Corinthians";0;7;1;"56%";426;"84%";14;2;0;0;3
"23/04/22";"Fluminense";0;12;2;"58%";503;"85%";15;5;0;4;5;"Internacional";1;12;4;"42%";383;"76%";12;3;0;2;4
"23/04/22";"Bragantino";1;15;3;"33%";242;"67%";13;5;0;1;6;"São Paulo";1;24;7;"67%";495;"83%";12;2;0;2;9
"23/04/22";"Atlético-MG";2;20;5;"61%";659;"89%";10;2;0;0;3;"Coritiba";2;11;4;"39%";415;"85%";8;1;0;0;3
"24/04/22";"Santos";3;18;8;"39%";324;"75%";16;2;0;2;3;"América-MG";0;19;2;"61%";490;"85%";8;0;0;1;8
"24/04/22";"Juventude";0;13;2;"58%";428;"82%";18;1;1;2;6;"Cuiabá";1;10;4;"42%";314;"77%";19;4;0;1;7
"25/04/22";"Avaí";3;14;4;"40%";255;"70%";20;5;1;0;3;"Goiás";2;18;5;"60%";376;"81%";20;5;0;3;5
"24/04/22";"Atlético-GO";1;9;2;"37%";320;"75%";11;2;0;2;2;"Botafogo";1;17;2;"63%";526;"85%";5;1;0;2;7
"01/05/22";"Botafogo";1;17;4;"61%";402;"83%";14;2;0;2;6;"Juventude";1;7;4;"39%";256;"72%";18;5;0;2;4
"30/04/22";"Cuiabá";1;17;5;"51%";475;"89%";12;2;0;1;4;"Atlético-GO";1;14;7;"49%";473;"85%";14;0;0;0;6
"30/04/22";"Goiás";2;7;2;"30%";253;"70%";20;5;0;0;0;"Atlético-MG";2;21;5;"70%";582;"88%";15;4;0;2;10
"30/04/22";"América-MG";1;7;3;"46%";364;"75%";19;1;0;4;6;"Athletico-PR";0;13;6;"54%";417;"79%";12;0;0;3;11
"30/04/22";"Ceará SC";0;14;4;"56%";447;"76%";11;1;0;4;5;"Bragantino";1;18;6;"44%";357;"77%";20;5;1;0;4
"01/05/22";"Corinthians";1;6;3;"56%";422;"80%";14;1;0;1;9;"Fortaleza";0;15;5;"44%";335;"73%";14;3;0;4;4
"01/05/22";"Internacional";0;23;3;"61%";537;"85%";15;2;0;0;18;"Avaí";0;11;4;"39%";378;"78%";16;4;0;0;2
"01/05/22";"Coritiba";3;20;8;"55%";438;"89%";13;0;0;1;8;"Fluminense";2;7;4;"45%";386;"81%";16;2;1;2;1
"02/05/22";"São Paulo";2;10;3;"57%";459;"86%";15;2;0;2;2;"Santos";1;8;3;"43%";353;"81%";8;4;0;0;4
"07/05/22";"Atlético-MG";1;23;8;"69%";539;"80%";7;4;0;3;11;"América-MG";2;12;9;"31%";261;"59%";22;3;1;3;3
"08/05/22";"Atlético-GO";0;33;7;"77%";531;"87%";12;4;0;2;12;"Goiás";1;6;3;"23%";173;"60%";11;2;1;2;0
"08/05/22";"Palmeiras";1;19;5;"48%";357;"85%";10;1;0;3;6;"Fluminense";1;8;2;"52%";403;"83%";13;2;0;0;3
"07/05/22";"Athletico-PR";1;15;9;"40%";285;"74%";19;5;0;1;4;"Ceará SC";0;16;3;"60%";408;"78%";8;4;0;1;9
"08/05/22";"Flamengo";0;17;8;"53%";408;"81%";13;1;0;8;10;"Botafogo";1;13;8;"47%";387;"77%";18;3;0;1;4
"08/05/22";"Bragantino";0;8;2;"58%";537;"83%";11;1;0;3;1;"Corinthians";1;4;1;"42%";416;"80%";9;2;0;1;1
"08/05/22";"Santos";4;12;7;"47%";417;"83%";14;1;0;1;4;"Cuiabá";1;16;3;"53%";454;"88%";12;2;0;2;8
"08/05/22";"Juventude";1;12;5;"57%";454;"82%";22;5;0;2;6;"Internacional";1;8;3;"43%";359;"76%";13;5;0;1;3
"09/05/22";"Avaí";2;12;6;"58%";546;"84%";14;3;0;0;5;"Coritiba";1;8;4;"42%";385;"79%";13;3;0;1;7
"08/05/22";"Fortaleza";1;12;3;"54%";383;"79%";16;2;0;3;9;"São Paulo";1;4;2;"46%";339;"72%";14;3;0;2;4
"11/05/22";"Bragantino";1;6;1;"37%";384;"77%";13;3;1;1;3;"Atlético-MG";1;18;4;"63%";648;"84%";5;2;0;2;10
"14/05/22";"Ceará SC";2;15;5;"41%";333;"82%";18;5;0;4;8;"Flamengo";2;11;4;"59%";486;"83%";22;5;0;0;3
"14/05/22";"Internacional";2;13;5;"47%";385;"82%";8;2;0;1;5;"Corinthians";2;15;9;"53%";426;"86%";7;2;0;3;6
"14/05/22";"Fluminense";2;11;6;"64%";525;"86%";12;3;0;1;4;"Athletico-PR";1;12;3;"36%";290;"76%";12;2;0;1;5
"14/05/22";"Palmeiras";2;14;7;"48%";388;"79%";11;2;0;3;7;"Bragantino";0;11;2;"52%";410;"81%";14;2;0;0;4
"14/05/22";"Atlético-MG";2;14;7;"57%";526;"82%";16;1;0;2;10;"Atlético-GO";0;5;0;"43%";400;"80%";14;2;0;1;2
