"data","time.casa","gol.casa","chutes.casa","chutesgol.casa","possebola.casa","passes.casa","Precisaopasse.casa","faltas.casa","cartaoamarelo.casa","cartaovermelho.casa","impedimentos.casa","escanteios.casa","time.fora","gol.fora","chutes.fora","chutesgol.fora","possebola.fora","passes.fora","Precisaopasse.fora","faltas.fora","cartaoamarelo.fora","cartaovermelho.fora","impedimentos.fora","escanteios.fora"
"28/04/19","Grêmio",1,26,11,"65%",607,"82%",12,3,0,2,12,"Santos",2,8,5,"35%",335,"71%",18,4,1,1,2
"27/04/19","Chapecoense",2,12,7,"43%",392,"77%",15,1,0,0,3,"Internacional",0,20,7,"57%",511,"81%",11,1,0,2,5
"27/04/19","Flamengo",3,17,5,"58%",526,"85%",13,4,0,0,6,"Cruzeiro",1,2,1,"42%",396,"79%",17,4,1,1,2
"27/04/19","Atlético-MG",2,11,3,"60%",549,"86%",12,0,0,0,4,"Avaí",1,6,1,"40%",362,"79%",18,1,0,1,4
"27/04/19","São Paulo",2,7,4,"28%",269,"75%",23,0,0,2,3,"Botafogo",0,11,2,"72%",702,"89%",7,4,0,1,2
"28/04/19","Athletico-PR",4,20,11,"57%",510,"87%",15,1,0,2,4,"Vasco da Gama",1,14,5,"43%",389,"85%",19,1,0,1,0
"28/04/19","Ceará SC",4,16,8,"55%",497,"87%",15,0,0,2,3,"CSA",0,6,1,"45%",416,"81%",4,0,1,1,6
"28/04/19","Palmeiras",4,18,9,"53%",379,"79%",12,1,0,3,6,"Fortaleza",0,8,5,"47%",349,"79%",16,2,0,1,1
"28/04/19","Fluminense",0,15,3,"72%",598,"90%",14,4,0,1,5,"Goiás",1,8,2,"28%",235,"70%",9,1,0,0,5
"28/04/19","Bahia",3,15,6,"43%",351,"75%",17,1,0,1,4,"Corinthians",2,9,3,"57%",474,"78%",5,4,0,0,4
"01/05/19","Avaí",1,13,3,"43%",375,"73%",15,4,0,0,11,"Grêmio",1,4,2,"57%",504,"79%",17,3,0,0,4
"01/05/19","Corinthians",1,12,4,"52%",424,"81%",14,2,0,1,7,"Chapecoense",0,10,1,"48%",403,"78%",10,1,0,1,2
"01/05/19","Internacional",2,17,7,"45%",431,"81%",8,3,0,1,4,"Flamengo",1,11,5,"55%",513,"81%",9,2,0,3,5
"01/05/19","Cruzeiro",1,11,4,"59%",614,"88%",10,1,0,1,2,"Ceará SC",0,14,4,"41%",426,"81%",12,0,0,2,3
"01/05/19","Fortaleza",2,18,5,"36%",291,"80%",12,3,0,1,2,"Athletico-PR",1,10,4,"64%",507,"89%",19,3,0,0,7
"02/05/19","Botafogo",3,9,5,"53%",482,"80%",11,3,0,0,3,"Bahia",2,19,4,"47%",421,"79%",15,0,0,4,6
"01/05/19","Vasco da Gama",1,21,4,"51%",461,"83%",12,0,0,0,8,"Atlético-MG",2,14,4,"49%",466,"82%",9,0,0,1,4
"02/05/19","Santos",2,22,10,"42%",377,"81%",25,3,0,1,6,"Fluminense",1,10,4,"58%",517,"85%",14,2,0,3,1
"01/05/19","Goiás",1,13,2,"47%",380,"82%",15,3,0,0,5,"São Paulo",2,14,5,"53%",433,"86%",12,2,1,1,10
"05/05/19","Chapecoense",1,16,5,"51%",384,"85%",16,1,0,1,8,"Athletico-PR",1,17,6,"49%",399,"85%",17,3,0,2,3
"04/05/19","Ceará SC",1,9,3,"46%",450,"84%",12,0,0,1,6,"Atlético-MG",2,15,6,"54%",531,"87%",7,1,0,1,4
"05/05/19","São Paulo",1,22,11,"65%",456,"87%",16,1,0,0,6,"Flamengo",1,9,1,"35%",259,"71%",15,7,0,2,2
"04/05/19","Palmeiras",1,13,5,"34%",255,"72%",15,2,0,0,4,"Internacional",0,10,2,"66%",477,"82%",18,5,0,0,5
"04/05/19","Vasco da Gama",1,13,4,"46%",342,"80%",21,2,0,0,8,"Corinthians",1,11,2,"54%",411,"84%",8,1,0,0,2
"05/05/19","Bahia",1,20,11,"53%",394,"74%",27,1,0,0,9,"Avaí",0,9,1,"47%",367,"76%",15,2,0,1,1
"05/05/19","Grêmio",4,13,7,"52%",544,"86%",8,2,0,0,8,"Fluminense",5,17,12,"48%",490,"83%",10,1,0,0,8
"05/05/19","CSA",0,10,3,"28%",250,"66%",11,1,0,1,2,"Santos",0,17,7,"72%",632,"85%",13,4,0,1,12
"05/05/19","Botafogo",1,9,4,"57%",539,"89%",10,0,0,0,7,"Fortaleza",0,14,3,"43%",406,"87%",16,2,0,1,4
"05/05/19","Cruzeiro",2,20,6,"61%",519,"87%",14,1,0,1,5,"Goiás",1,13,4,"39%",333,"80%",10,1,1,1,4
"12/05/19","Santos",3,23,8,"56%",435,"79%",18,2,0,1,8,"Vasco da Gama",0,15,5,"44%",346,"75%",11,3,1,5,5
"12/05/19","Flamengo",2,19,7,"57%",464,"85%",18,2,0,1,7,"Chapecoense",1,20,7,"43%",362,"89%",9,3,0,1,4
"11/05/19","Corinthians",0,11,4,"48%",474,"81%",13,2,0,0,3,"Grêmio",0,8,2,"52%",513,"83%",19,4,0,1,2
"11/05/19","Goiás",2,12,6,"37%",295,"79%",20,2,0,2,2,"Ceará SC",1,13,3,"63%",487,"82%",12,2,0,2,7
"11/05/19","Fluminense",0,23,6,"64%",504,"91%",16,3,0,4,8,"Botafogo",1,9,3,"36%",305,"81%",12,5,0,4,3
"12/05/19","Avaí",0,21,4,"61%",544,"86%",14,1,0,4,6,"CSA",0,4,1,"39%",376,"73%",18,2,0,0,0
"12/05/19","Fortaleza",0,12,3,"53%",478,"87%",12,2,0,2,6,"São Paulo",1,8,2,"47%",430,"87%",14,2,0,0,4
"12/05/19","Athletico-PR",1,18,9,"63%",539,"87%",13,2,0,3,8,"Bahia",0,13,4,"37%",309,"79%",14,3,0,2,6
"12/05/19","Internacional",3,16,5,"54%",505,"84%",10,0,0,0,4,"Cruzeiro",1,14,6,"46%",442,"82%",14,0,1,0,3
"18/05/19","Fluminense",4,24,11,"54%",501,"87%",20,3,0,0,10,"Cruzeiro",1,4,3,"46%",442,"80%",12,2,0,1,2
"19/05/19","Internacional",2,14,7,"63%",601,"86%",11,2,0,4,4,"CSA",0,12,5,"37%",342,"77%",9,3,0,2,3
"18/05/19","Palmeiras",4,17,8,"33%",245,"68%",23,2,0,0,5,"Santos",0,13,4,"67%",479,"83%",19,4,0,1,5
"18/05/19","Atlético-MG",2,11,5,"33%",255,"73%",11,3,1,0,2,"Flamengo",1,24,10,"67%",488,"84%",8,1,0,0,18
"19/05/19","São Paulo",0,11,3,"58%",512,"86%",9,1,1,3,4,"Bahia",0,17,2,"42%",371,"77%",19,3,0,1,6
"19/05/19","Vasco da Gama",1,11,2,"51%",368,"75%",16,1,0,3,5,"Avaí",1,18,6,"49%",348,"75%",14,2,0,3,10
"19/05/19","Ceará SC",2,6,1,"36%",281,"69%",14,3,0,2,2,"Grêmio",1,17,4,"64%",493,"85%",16,6,0,1,7
"19/05/19","Athletico-PR",0,23,5,"63%",583,"88%",16,1,0,3,11,"Corinthians",2,4,2,"37%",362,"81%",12,4,0,1,3
"19/05/19","Chapecoense",1,19,4,"53%",419,"83%",16,1,0,0,9,"Fortaleza",3,12,8,"47%",395,"77%",12,1,0,2,4
"19/05/19","Goiás",1,19,6,"31%",238,"78%",18,1,0,7,9,"Botafogo",0,6,2,"69%",571,"87%",14,3,0,0,3
"26/05/19","Fortaleza",1,12,3,"62%",539,"88%",9,1,0,0,2,"Vasco da Gama",1,14,2,"38%",337,"83%",12,2,0,0,5
"25/05/19","Grêmio",1,24,8,"57%",570,"88%",10,1,0,0,13,"Atlético-MG",0,9,5,"43%",437,"81%",14,4,0,0,4
"25/05/19","Botafogo",0,8,2,"63%",444,"84%",13,10,0,0,0,"Palmeiras",1,17,2,"37%",254,"70%",19,0,0,6,8
"26/05/19","Flamengo",3,11,4,"49%",392,"76%",16,4,0,2,9,"Athletico-PR",2,12,5,"51%",412,"79%",21,3,0,0,2
"26/05/19","Santos",0,11,4,"63%",517,"82%",19,5,0,0,7,"Internacional",0,15,1,"37%",316,"74%",19,5,0,3,4
"26/05/19","Cruzeiro",1,18,3,"65%",559,"84%",13,1,0,1,8,"Chapecoense",2,10,5,"35%",313,"71%",11,3,0,0,2
"27/05/19","Avaí",1,13,3,"52%",417,"70%",21,4,0,2,3,"Ceará SC",2,9,4,"48%",399,"72%",15,3,0,1,0
"27/05/19","CSA",1,16,4,"44%",334,"76%",19,3,0,1,3,"Goiás",0,15,5,"56%",412,"79%",10,1,0,0,9
"26/05/19","Bahia",3,10,5,"33%",303,"75%",9,2,0,0,3,"Fluminense",2,11,4,"67%",603,"90%",10,2,1,2,3
"26/05/19","Corinthians",1,13,5,"40%",296,"75%",16,3,0,1,3,"São Paulo",0,9,1,"60%",438,"78%",14,4,0,3,4
"02/06/19","Ceará SC",0,13,3,"39%",301,"72%",14,2,0,0,2,"Santos",1,12,3,"61%",470,"82%",22,1,0,2,0
"01/06/19","Bahia",1,14,4,"42%",394,"83%",8,1,0,0,10,"Grêmio",0,7,2,"58%",537,"87%",10,2,0,5,4
"02/06/19","Botafogo",1,8,1,"56%",469,"84%",15,2,0,1,4,"Vasco da Gama",0,18,2,"44%",362,"81%",16,3,0,1,9
"01/06/19","Flamengo",2,21,8,"65%",652,"92%",16,1,0,2,8,"Fortaleza",0,10,4,"35%",343,"86%",6,0,0,1,2
"02/06/19","Athletico-PR",3,16,6,"56%",457,"87%",20,1,0,1,6,"Fluminense",0,9,2,"44%",372,"79%",17,3,1,0,4
"07/06/19","Vasco da Gama",2,10,3,"31%",288,"73%",13,0,0,0,0,"Internacional",1,19,4,"69%",635,"88%",16,2,0,5,10
"02/06/19","Internacional",2,11,7,"64%",682,"87%",11,0,0,3,5,"Avaí",0,14,1,"36%",382,"78%",12,0,0,1,7
"02/06/19","Atlético-MG",4,27,7,"72%",771,"90%",2,0,0,2,11,"CSA",0,12,0,"28%",304,"79%",11,3,0,0,2
"02/06/19","São Paulo",1,13,4,"40%",369,"76%",15,2,1,0,5,"Cruzeiro",1,14,4,"60%",567,"84%",12,3,0,4,9
"02/06/19","Chapecoense",1,18,4,"55%",410,"81%",14,2,0,1,3,"Palmeiras",2,14,6,"45%",356,"77%",21,5,0,0,5
"08/06/19","Avaí",0,11,1,"37%",302,"65%",17,5,0,1,4,"São Paulo",0,12,3,"63%",513,"80%",17,2,0,1,10
"08/06/19","Cruzeiro",0,25,7,"45%",448,"83%",12,1,0,2,11,"Corinthians",0,5,1,"55%",538,"86%",13,1,0,1,5
"08/06/19","Grêmio",1,12,4,"66%",630,"89%",7,1,0,3,10,"Fortaleza",0,5,2,"34%",343,"78%",7,4,1,0,1
"08/06/19","Palmeiras",1,21,3,"43%",304,"77%",16,2,0,1,7,"Athletico-PR",0,7,3,"57%",406,"82%",29,4,0,1,7
"08/06/19","Ceará SC",0,22,5,"63%",477,"81%",12,2,0,1,9,"Bahia",0,9,1,"37%",296,"65%",10,2,0,3,1
"10/06/19","Goiás",3,17,7,"51%",353,"80%",14,2,0,0,6,"Chapecoense",1,12,2,"49%",350,"81%",17,0,1,0,6
"09/06/19","CSA",1,21,5,"39%",328,"84%",20,2,0,3,8,"Botafogo",2,13,7,"61%",520,"89%",10,1,0,0,2
"09/06/19","Fluminense",0,18,6,"64%",607,"88%",14,2,0,1,5,"Flamengo",0,11,2,"36%",339,"79%",17,3,0,0,2
"09/06/19","Santos",3,24,5,"59%",532,"87%",12,1,0,0,4,"Atlético-MG",1,12,4,"41%",383,"75%",14,2,0,1,5
"12/06/19","Botafogo",0,7,3,"47%",463,"87%",9,1,0,1,4,"Grêmio",1,14,5,"53%",515,"87%",11,2,0,4,7
"13/06/19","Vasco da Gama",1,18,11,"53%",484,"82%",14,0,0,2,5,"Ceará SC",0,8,1,"47%",426,"80%",15,2,0,3,1
"12/06/19","Fortaleza",2,11,4,"46%",354,"81%",10,0,1,1,6,"Cruzeiro",1,12,4,"54%",426,"86%",15,6,0,2,5
"12/06/19","CSA",0,10,2,"34%",276,"69%",13,3,0,1,3,"Flamengo",2,24,11,"66%",515,"85%",10,1,0,2,12
"12/06/19","Santos",1,19,4,"53%",461,"80%",16,4,0,2,2,"Corinthians",0,2,0,"47%",413,"76%",13,4,0,1,3
"12/06/19","Internacional",3,14,7,"45%",506,"83%",11,1,0,0,3,"Bahia",1,19,2,"55%",593,"86%",7,1,0,0,3
"13/06/19","Atlético-MG",1,20,8,"69%",721,"87%",13,2,0,0,12,"São Paulo",1,9,3,"31%",318,"75%",17,4,0,0,5
"13/07/19","Grêmio",2,11,6,"71%",622,"88%",18,2,0,2,4,"Vasco da Gama",1,10,5,"29%",255,"71%",12,4,0,1,6
"13/06/19","Chapecoense",1,15,4,"35%",296,"78%",12,2,0,1,5,"Fluminense",1,10,3,"65%",549,"89%",21,5,1,1,3
"13/06/19","Palmeiras",2,14,6,"53%",421,"78%",13,1,0,1,9,"Avaí",0,8,2,"47%",379,"81%",18,1,0,1,1
"13/07/19","Fortaleza",2,14,6,"40%",361,"83%",15,2,0,0,5,"Avaí",0,15,5,"60%",513,"86%",12,2,0,1,13
"13/07/19","Bahia",0,12,2,"38%",330,"74%",13,2,0,0,5,"Santos",1,17,6,"62%",527,"84%",11,3,0,1,7
"13/07/19","São Paulo",1,14,10,"45%",333,"77%",19,3,0,0,8,"Palmeiras",1,15,5,"55%",406,"80%",18,3,0,4,5
"14/07/19","Flamengo",6,30,16,"74%",561,"89%",8,1,0,0,11,"Goiás",1,7,2,"26%",202,"70%",9,2,0,3,0
"14/07/19","Corinthians",1,27,8,"67%",549,"88%",2,2,0,1,16,"CSA",0,4,1,"33%",296,"75%",18,6,0,0,1
"14/07/19","Chapecoense",1,15,3,"38%",264,"70%",20,3,0,2,5,"Atlético-MG",2,21,7,"62%",439,"80%",16,5,0,2,10
"20/07/19","Vasco da Gama",2,16,5,"44%",391,"83%",25,4,0,4,3,"Fluminense",1,5,2,"56%",499,"85%",22,2,2,1,2
"15/07/19","Fluminense",1,23,7,"71%",628,"87%",11,2,0,1,14,"Ceará SC",1,9,5,"29%",265,"72%",15,2,0,2,5
"14/07/19","Athletico-PR",1,17,6,"61%",460,"85%",15,3,0,2,6,"Internacional",0,12,4,"39%",303,"78%",16,3,0,3,2
"14/07/19","Cruzeiro",0,7,1,"42%",454,"87%",11,0,0,3,5,"Botafogo",0,8,1,"58%",640,"88%",8,0,0,0,3
"21/07/19","Botafogo",0,9,1,"51%",441,"85%",12,1,1,1,9,"Santos",1,13,4,"49%",445,"84%",14,2,1,1,2
"20/07/19","Ceará SC",2,9,4,"42%",286,"77%",26,3,0,1,3,"Palmeiras",0,21,6,"58%",374,"83%",13,2,0,1,9
"20/07/19","Internacional",1,11,4,"42%",415,"79%",13,3,0,0,1,"Grêmio",1,10,3,"58%",570,"82%",14,2,0,0,2
"20/07/19","Bahia",0,12,1,"58%",517,"87%",17,1,1,1,5,"Cruzeiro",0,12,5,"42%",384,"79%",8,1,0,2,5
"22/07/19","São Paulo",4,19,6,"49%",400,"79%",29,1,0,0,5,"Chapecoense",0,8,2,"51%",405,"82%",19,3,0,3,3
"21/07/19","Atlético-MG",2,19,7,"52%",409,"84%",15,1,0,0,3,"Fortaleza",2,10,4,"48%",385,"80%",12,4,0,0,2
"21/07/19","Avaí",0,15,3,"62%",490,"81%",16,4,0,1,5,"Goiás",0,11,3,"38%",304,"69%",19,2,0,0,3
"21/07/19","Corinthians",1,14,3,"44%",318,"79%",20,1,0,2,4,"Flamengo",1,6,3,"56%",410,"80%",17,3,1,0,5
"27/07/19","Palmeiras",1,15,4,"55%",386,"85%",22,1,0,1,3,"Vasco da Gama",1,6,1,"45%",321,"77%",22,4,0,0,4
"28/07/19","Chapecoense",0,16,4,"47%",360,"76%",16,1,0,0,10,"Bahia",0,16,7,"53%",411,"74%",15,1,0,1,5
"27/07/19","Fluminense",1,14,4,"72%",660,"89%",20,1,0,0,4,"São Paulo",2,13,5,"28%",264,"78%",14,3,0,0,2
"28/07/19","Flamengo",3,15,5,"63%",488,"86%",23,5,0,0,5,"Botafogo",2,12,3,"37%",290,"76%",16,2,0,3,4
"27/07/19","Internacional",1,11,5,"55%",490,"82%",11,3,0,1,6,"Ceará SC",0,9,2,"45%",408,"75%",12,3,0,0,6
"03/08/19","Ceará SC",2,11,4,"35%",229,"62%",14,3,0,4,8,"Fortaleza",1,11,4,"65%",427,"81%",16,0,1,2,4
"29/07/19","CSA",0,10,2,"40%",350,"82%",13,4,0,0,2,"Grêmio",0,15,0,"60%",526,"85%",13,2,0,2,6
