"data","nchutefezgol","diaSemana","time","gol","nchutenogol","chutes","chutesgol","possebola","passes","precisaopasses","faltas","cartaoamarelo","cartaovermelho","impedimentos","escanteios","estadio","resultado"
"28/04/19",0.04,"qua","Grêmio",1,0.42,26,11,0.65,607,0.82,12,3,0,2,12,"casa","perdeu"
"27/04/19",0.17,"seg","Chapecoense",2,0.58,12,7,0.43,392,0.77,15,1,0,0,3,"casa","venceu"
"27/04/19",0.18,"seg","Flamengo",3,0.29,17,5,0.58,526,0.85,13,4,0,0,6,"casa","venceu"
"27/04/19",0.18,"seg","Atlético-MG",2,0.27,11,3,0.6,549,0.86,12,0,0,0,4,"casa","venceu"
"27/04/19",0.29,"seg","São Paulo",2,0.57,7,4,0.28,269,0.75,23,0,0,2,3,"casa","venceu"
"28/04/19",0.2,"qua","Athletico-PR",4,0.55,20,11,0.57,510,0.87,15,1,0,2,4,"casa","venceu"
"28/04/19",0.25,"qua","Ceará SC",4,0.5,16,8,0.55,497,0.87,15,0,0,2,3,"casa","venceu"
"28/04/19",0.22,"qua","Palmeiras",4,0.5,18,9,0.53,379,0.79,12,1,0,3,6,"casa","venceu"
"28/04/19",0,"qua","Fluminense",0,0.2,15,3,0.72,598,0.9,14,4,0,1,5,"casa","perdeu"
"28/04/19",0.2,"qua","Bahia",3,0.4,15,6,0.43,351,0.75,17,1,0,1,4,"casa","venceu"
"01/05/19",0.08,"sáb","Avaí",1,0.23,13,3,0.43,375,0.73,15,4,0,0,11,"casa","empatou"
"01/05/19",0.08,"sáb","Corinthians",1,0.33,12,4,0.52,424,0.81,14,2,0,1,7,"casa","venceu"
"01/05/19",0.12,"sáb","Internacional",2,0.41,17,7,0.45,431,0.81,8,3,0,1,4,"casa","venceu"
"01/05/19",0.09,"sáb","Cruzeiro",1,0.36,11,4,0.59,614,0.88,10,1,0,1,2,"casa","venceu"
"01/05/19",0.11,"sáb","Fortaleza",2,0.28,18,5,0.36,291,0.8,12,3,0,1,2,"casa","venceu"
"02/05/19",0.33,"dom","Botafogo",3,0.56,9,5,0.53,482,0.8,11,3,0,0,3,"casa","venceu"
"01/05/19",0.05,"sáb","Vasco da Gama",1,0.19,21,4,0.51,461,0.83,12,0,0,0,8,"casa","perdeu"
"02/05/19",0.09,"dom","Santos",2,0.45,22,10,0.42,377,0.81,25,3,0,1,6,"casa","venceu"
"01/05/19",0.08,"sáb","Goiás",1,0.15,13,2,0.47,380,0.82,15,3,0,0,5,"casa","perdeu"
"05/05/19",0.06,"qui","Chapecoense",1,0.31,16,5,0.51,384,0.85,16,1,0,1,8,"casa","empatou"
"04/05/19",0.11,"qua","Ceará SC",1,0.33,9,3,0.46,450,0.84,12,0,0,1,6,"casa","perdeu"
"05/05/19",0.05,"qui","São Paulo",1,0.5,22,11,0.65,456,0.87,16,1,0,0,6,"casa","empatou"
"04/05/19",0.08,"qua","Palmeiras",1,0.38,13,5,0.34,255,0.72,15,2,0,0,4,"casa","venceu"
"04/05/19",0.08,"qua","Vasco da Gama",1,0.31,13,4,0.46,342,0.8,21,2,0,0,8,"casa","empatou"
"05/05/19",0.05,"qui","Bahia",1,0.55,20,11,0.53,394,0.74,27,1,0,0,9,"casa","venceu"
"05/05/19",0.31,"qui","Grêmio",4,0.54,13,7,0.52,544,0.86,8,2,0,0,8,"casa","perdeu"
"05/05/19",0,"qui","CSA",0,0.3,10,3,0.28,250,0.66,11,1,0,1,2,"casa","empatou"
"05/05/19",0.11,"qui","Botafogo",1,0.44,9,4,0.57,539,0.89,10,0,0,0,7,"casa","venceu"
"05/05/19",0.1,"qui","Cruzeiro",2,0.3,20,6,0.61,519,0.87,14,1,0,1,5,"casa","venceu"
"12/05/19",0.13,"sáb","Santos",3,0.35,23,8,0.56,435,0.79,18,2,0,1,8,"casa","venceu"
"12/05/19",0.11,"sáb","Flamengo",2,0.37,19,7,0.57,464,0.85,18,2,0,1,7,"casa","venceu"
"11/05/19",0,"qui","Corinthians",0,0.36,11,4,0.48,474,0.81,13,2,0,0,3,"casa","empatou"
"11/05/19",0.17,"qui","Goiás",2,0.5,12,6,0.37,295,0.79,20,2,0,2,2,"casa","venceu"
"11/05/19",0,"qui","Fluminense",0,0.26,23,6,0.64,504,0.91,16,3,0,4,8,"casa","perdeu"
"12/05/19",0,"sáb","Avaí",0,0.19,21,4,0.61,544,0.86,14,1,0,4,6,"casa","empatou"
"12/05/19",0,"sáb","Fortaleza",0,0.25,12,3,0.53,478,0.87,12,2,0,2,6,"casa","perdeu"
"12/05/19",0.06,"sáb","Athletico-PR",1,0.5,18,9,0.63,539,0.87,13,2,0,3,8,"casa","venceu"
"12/05/19",0.19,"sáb","Internacional",3,0.31,16,5,0.54,505,0.84,10,0,0,0,4,"casa","venceu"
"18/05/19",0.17,"sáb","Fluminense",4,0.46,24,11,0.54,501,0.87,20,3,0,0,10,"casa","venceu"
"19/05/19",0.14,"dom","Internacional",2,0.5,14,7,0.63,601,0.86,11,2,0,4,4,"casa","venceu"
"18/05/19",0.24,"sáb","Palmeiras",4,0.47,17,8,0.33,245,0.68,23,2,0,0,5,"casa","venceu"
"18/05/19",0.18,"sáb","Atlético-MG",2,0.45,11,5,0.33,255,0.73,11,3,1,0,2,"casa","venceu"
"19/05/19",0,"dom","São Paulo",0,0.27,11,3,0.58,512,0.86,9,1,1,3,4,"casa","empatou"
"19/05/19",0.09,"dom","Vasco da Gama",1,0.18,11,2,0.51,368,0.75,16,1,0,3,5,"casa","empatou"
"19/05/19",0.33,"dom","Ceará SC",2,0.17,6,1,0.36,281,0.69,14,3,0,2,2,"casa","venceu"
"19/05/19",0,"dom","Athletico-PR",0,0.22,23,5,0.63,583,0.88,16,1,0,3,11,"casa","perdeu"
"19/05/19",0.05,"dom","Chapecoense",1,0.21,19,4,0.53,419,0.83,16,1,0,0,9,"casa","perdeu"
"19/05/19",0.05,"dom","Goiás",1,0.32,19,6,0.31,238,0.78,18,1,0,7,9,"casa","venceu"
