"nchutefezgol","gol","nchutenogol","chutes","chutesgol","possebola","passes","precisaopasses","faltas","cartaoamarelo","cartaovermelho","impedimentos","escanteios","data","diaSemana","time","estadio","resultado"
0.1,0.25,0.538461538461538,0.875,0.727272727272727,0.617021276595745,0.582914572864322,0.827586206896552,0.238095238095238,0.333333333333333,0,0,0.8,"08/06/19","qui","Grêmio","casa","venceu"
0.2,0.25,0.423076923076923,0.416666666666667,0.636363636363636,0.617021276595745,0.582914572864322,0.896551724137931,0.142857142857143,0.166666666666667,0,0,0.666666666666667,"13/07/19","sex","Grêmio","casa","venceu"
0.2,0.25,0.423076923076923,0.375,0.545454545454545,0.808510638297872,0.670016750418761,0.896551724137931,0.238095238095238,0.166666666666667,0,0.4,0.666666666666667,"05/08/19","sex","Grêmio","casa","empatou"
0.325,0.5,0.5,0.375,0.545454545454545,0.872340425531915,0.670016750418761,0.896551724137931,0.571428571428571,0.333333333333333,0,0.6,0.666666666666667,"17/08/19","sáb","Grêmio","casa","empatou"
0.325,0.5,0.5,0.458333333333333,0.545454545454545,0.872340425531915,0.670016750418761,0.896551724137931,0.571428571428571,0.333333333333333,0,0.4,0.266666666666667,"15/09/19","sáb","Grêmio","casa","venceu"
0.325,0.75,0.5,0.791666666666667,0.818181818181818,0.851063829787234,0.680067001675042,0.896551724137931,0.380952380952381,0,0,0.2,0.733333333333333,"26/09/19","sáb","Grêmio","casa","venceu"
0.35,0.75,0.576923076923077,0.458333333333333,0.727272727272727,0.765957446808511,0.680067001675042,0.931034482758621,0.380952380952381,0,0,0,0.4,"05/10/19","qua","Grêmio","casa","empatou"
0.35,0.75,0.576923076923077,0.625,0.727272727272727,0.765957446808511,0.648241206030151,0.896551724137931,0.333333333333333,0.166666666666667,0,0.2,0.666666666666667,"09/10/19","seg","Grêmio","casa","venceu"
0.45,0.5,0.461538461538462,0.333333333333333,0.363636363636364,0.787234042553192,0.648241206030151,0.931034482758621,0.333333333333333,0.166666666666667,0,0.2,0.4,"16/10/19","qua","Grêmio","casa","perdeu"
0,0,0.423076923076923,0.625,0.363636363636364,0.787234042553192,0.648241206030151,0.96551724137931,0.333333333333333,0.5,0,0.2,0.666666666666667,"27/10/19","ter","Grêmio","casa","venceu"
0.35,0.5,0.461538461538462,0.625,0.545454545454545,0.74468085106383,0.556113902847571,0.96551724137931,0.380952380952381,0.5,0,0.2,0.333333333333333,"03/11/19","qua","Grêmio","casa","venceu"
0.25,0.5,0.551282051282051,0.75,0.818181818181818,0.659574468085106,0.495812395309883,0.862068965517241,0.380952380952381,0.5,0,0.2,0.333333333333333,"07/11/19","seg","Grêmio","casa","venceu"
0.275,0.5,0.551282051282051,0.75,0.818181818181818,0.659574468085106,0.495812395309883,0.862068965517241,0.476190476190476,0.5,0,0.2,0.333333333333333,"17/11/19","dom","Grêmio","casa","perdeu"
0.25,0.5,0.346153846153846,0.75,0.545454545454545,0.787234042553192,0.564489112227806,0.862068965517241,0.476190476190476,0.333333333333333,0,0.2,0.666666666666667,"01/12/19","qua","Grêmio","casa","venceu"
0.275,0.5,0.346153846153846,0.666666666666667,0.363636363636364,0.787234042553192,0.564489112227806,0.758620689655172,0.476190476190476,0.166666666666667,0,0,0.666666666666667,"05/12/19","seg","Grêmio","casa","venceu"
0.35,0.5,0.397435897435897,0.458333333333333,0.545454545454545,0.74468085106383,0.564489112227806,0.758620689655172,0.285714285714286,0,0,0.2,0.333333333333333,"09/08/20","qui","Grêmio","casa","venceu"
0.35,0.5,0.397435897435897,0.458333333333333,0.363636363636364,0.531914893617021,0.458961474036851,0.620689655172414,0.476190476190476,0,0,0.2,0.333333333333333,"15/08/20","qui","Grêmio","casa","empatou"
0.175,0.25,0.423076923076923,0.5,0.636363636363636,0.531914893617021,0.458961474036851,0.827586206896552,0.523809523809524,0.333333333333333,0,0.2,0.4,"03/09/20","sáb","Grêmio","casa","perdeu"
0.075,0.25,0.346153846153846,0.875,0.636363636363636,0.531914893617021,0.458961474036851,0.827586206896552,0.523809523809524,0.333333333333333,0,0.2,0.466666666666667,"13/09/20","sex","Grêmio","casa","empatou"
0.075,0.25,0.307692307692308,0.875,0.636363636363636,0.617021276595745,0.519262981574539,0.827586206896552,0.285714285714286,0.166666666666667,0,0.2,0.466666666666667,"20/09/20","dom","Grêmio","casa","empatou"
0.175,0.25,0.294871794871795,0.458333333333333,0.272727272727273,0.765957446808511,0.61641541038526,0.827586206896552,0.285714285714286,0.166666666666667,0,0.2,0.4,"03/10/20","seg","Grêmio","casa","empatou"
0.175,0.25,0.294871794871795,0.458333333333333,0.272727272727273,0.617021276595745,0.519262981574539,0.793103448275862,0.476190476190476,0.166666666666667,0.5,0.2,0.4,"07/10/20","sáb","Grêmio","casa","venceu"
