"nchutefezgol","gol","nchutenogol","chutes","chutesgol","possebola","passes","precisaopasses","faltas","cartaoamarelo","cartaovermelho","impedimentos","escanteios","data","diaSemana","time","estadio","resultado"
0.04,1,0.42,24,8,0.57,570,0.86,10,2,0,0,12,"08/06/19","qui","Grêmio","casa","venceu"
0.08,1,0.33,13,7,0.57,570,0.88,8,1,0,0,10,"13/07/19","sex","Grêmio","casa","venceu"
0.08,1,0.33,12,6,0.66,622,0.88,10,1,0,2,10,"05/08/19","sex","Grêmio","casa","empatou"
0.13,2,0.39,12,6,0.69,622,0.88,17,2,0,3,10,"17/08/19","sáb","Grêmio","casa","empatou"
0.13,2,0.39,14,6,0.69,622,0.88,17,2,0,2,4,"15/09/19","sáb","Grêmio","casa","venceu"
0.13,3,0.39,22,9,0.68,628,0.88,13,0,0,1,11,"26/09/19","sáb","Grêmio","casa","venceu"
0.14,3,0.45,14,8,0.64,628,0.89,13,0,0,0,6,"05/10/19","qua","Grêmio","casa","empatou"
0.14,3,0.45,18,8,0.64,609,0.88,12,1,0,1,10,"09/10/19","seg","Grêmio","casa","venceu"
0.18,2,0.36,11,4,0.65,609,0.89,12,1,0,1,6,"16/10/19","qua","Grêmio","casa","perdeu"
0,0,0.33,18,4,0.65,609,0.9,12,3,0,1,10,"27/10/19","ter","Grêmio","casa","venceu"
0.14,2,0.36,18,6,0.63,554,0.9,13,3,0,1,5,"03/11/19","qua","Grêmio","casa","venceu"
0.1,2,0.43,21,9,0.59,518,0.87,13,3,0,1,5,"07/11/19","seg","Grêmio","casa","venceu"
0.11,2,0.43,21,9,0.59,518,0.87,15,3,0,1,5,"17/11/19","dom","Grêmio","casa","perdeu"
0.1,2,0.27,21,6,0.65,559,0.87,15,2,0,1,10,"01/12/19","qua","Grêmio","casa","venceu"
0.11,2,0.27,19,4,0.65,559,0.84,15,1,0,0,10,"05/12/19","seg","Grêmio","casa","venceu"
0.14,2,0.31,14,6,0.63,559,0.84,11,0,0,1,5,"09/08/20","qui","Grêmio","casa","venceu"
0.14,2,0.31,14,4,0.53,496,0.8,15,0,0,1,5,"15/08/20","qui","Grêmio","casa","empatou"
0.07,1,0.33,15,7,0.53,496,0.86,16,2,0,1,6,"03/09/20","sáb","Grêmio","casa","perdeu"
0.03,1,0.27,24,7,0.53,496,0.86,16,2,0,1,7,"13/09/20","sex","Grêmio","casa","empatou"
0.03,1,0.24,24,7,0.57,532,0.86,11,1,0,1,7,"20/09/20","dom","Grêmio","casa","empatou"
0.07,1,0.23,14,3,0.64,590,0.86,11,1,0,1,6,"03/10/20","seg","Grêmio","casa","empatou"
0.07,1,0.23,14,3,0.57,532,0.85,15,1,1,1,6,"07/10/20","sáb","Grêmio","casa","venceu"
0.08,1,0.36,13,5,0.49,466,0.83,18,2,0,1,6,"14/10/20","seg","Grêmio","casa","venceu"
0.18,2,0.4,11,5,0.49,466,0.83,15,2,1,1,5,"02/11/20","qua","Grêmio","casa","venceu"
0.18,2,0.4,11,4,0.51,479,0.83,13,2,0,1,3,"14/11/20","qui","Grêmio","casa","venceu"
0.25,3,0.4,11,4,0.56,579,0.86,11,1,0,1,3,"30/11/20","qua","Grêmio","casa","venceu"
0.18,2,0.38,16,7,0.61,680,0.9,13,1,0,1,3,"06/12/20","qua","Grêmio","casa","venceu"
0.18,4,0.44,22,10,0.61,680,0.9,9,2,0,1,5,"06/01/21","sáb","Grêmio","casa","venceu"
0.18,2,0.38,22,10,0.6,604,0.89,11,2,0,1,5,"27/12/20","seg","Grêmio","casa","venceu"
0.18,2,0.4,11,4,0.49,407,0.83,11,2,0,1,5,"20/01/21","ter","Grêmio","casa","empatou"
0.18,2,0.38,10,3,0.49,407,0.83,11,2,0,1,3,"28/01/21","sex","Grêmio","casa","perdeu"
0.2,2,0.4,8,4,0.51,548,0.84,11,2,0,1,3,"03/02/21","sex","Grêmio","casa","empatou"
0.18,2,0.38,8,5,0.58,548,0.87,12,5,0,1,3,"14/02/21","sex","Grêmio","casa","perdeu"
0.2,2,0.6,8,5,0.52,539,0.87,15,5,0,1,5,"21/02/21","dom","Grêmio","casa","venceu"
0.18,1,0.35,11,3,0.52,520,0.86,19,4,0,1,5,"13/06/21","sex","Grêmio","casa","perdeu"
0.09,1,0.18,10,2,0.52,520,0.86,19,4,0,0,5,"24/06/21","sex","Grêmio","casa","empatou"
0.09,1,0.18,11,2,0.5,463,0.86,21,3,0,1,6,"27/06/21","seg","Grêmio","casa","empatou"
0,0,0.28,18,5,0.58,415,0.81,21,2,0,1,7,"04/07/21","qua","Grêmio","casa","perdeu"
0,0,0.28,19,5,0.58,415,0.81,16,2,0,2,10,"10/07/21","qua","Grêmio","casa","empatou"
0,0,0.19,18,4,0.58,409,0.81,13,2,0,2,10,"24/07/21","dom","Grêmio","casa","empatou"
0,0,0.19,12,4,0.52,471,0.77,16,3,0,2,8,"09/08/21","sex","Grêmio","casa","venceu"
0.08,1,0.18,12,3,0.52,471,0.77,14,1,0,2,8,"21/08/21","sáb","Grêmio","casa","venceu"
0.1,2,0.33,15,4,0.53,489,0.82,14,1,0,1,8,"28/08/21","seg","Grêmio","casa","perdeu"
0.1,2,0.18,15,3,0.53,489,0.82,14,1,0,0,6,"12/09/21","sex","Grêmio","casa","venceu"
0.13,2,0.23,13,3,0.44,462,0.82,17,1,0,0,5,"03/10/21","ter","Grêmio","casa","perdeu"
0.05,1,0.23,13,3,0.44,462,0.85,21,1,0,0,6,"06/10/21","sáb","Grêmio","casa","empatou"
0.1,2,0.32,20,7,0.63,520,0.84,21,2,0,0,7,"17/10/21","sáb","Grêmio","casa","venceu"
0.1,2,0.35,20,7,0.63,520,0.84,21,2,0,0,7,"31/10/21","ter","Grêmio","casa","perdeu"
0.1,2,0.35,15,7,0.55,492,0.82,24,2,0,1,6,"09/11/21","sáb","Grêmio","casa","venceu"
0.07,1,0.33,15,7,0.49,445,0.82,24,3,0,1,6,"16/11/21","seg","Grêmio","casa","venceu"
0.07,1,0.33,25,7,0.49,445,0.82,18,3,0,2,6,"23/11/21","ter","Grêmio","casa","empatou"
0.11,2,0.4,25,8,0.51,445,0.82,15,2,0,2,6,"02/12/21","sáb","Grêmio","casa","venceu"
0.12,3,0.44,18,8,0.51,427,0.81,15,2,0,2,6,"09/12/21","seg","Grêmio","casa","venceu"
0.18,3,0.47,17,8,0.45,398,0.81,15,3,0,1,5,"01/05/19","sáb","Grêmio","fora","empatou"
0.25,3,0.5,7,4,0.45,398,0.79,17,3,0,0,4,"11/05/19","qui","Grêmio","fora","empatou"
0.25,1,0.5,7,2,0.52,504,0.83,17,3,0,1,3,"19/05/19","dom","Grêmio","fora","perdeu"
0.06,1,0.25,8,2,0.57,504,0.83,17,4,0,1,4,"01/06/19","ter","Grêmio","fora","perdeu"
0,0,0.25,8,2,0.58,513,0.85,16,4,0,1,4,"12/06/19","ter","Grêmio","fora","venceu"
0.06,1,0.29,14,4,0.58,515,0.87,11,2,0,4,7,"20/07/19","dom","Grêmio","fora","empatou"
0.07,1,0.3,10,3,0.58,537,0.87,11,2,0,4,4,"29/07/19","qui","Grêmio","fora","empatou"
0.07,1,0.3,14,3,0.58,526,0.85,13,2,0,2,6,"10/08/19","qui","Grêmio","fora","perdeu"
0.1,1,0.29,10,2,0.58,526,0.82,14,2,0,1,3,"31/08/19","ter","Grêmio","fora","empatou"
0,0,0.29,7,2,0.45,426,0.82,13,2,0,1,5,"08/09/19","sex","Grêmio","fora","venceu"
0.14,1,0.33,7,3,0.45,426,0.82,10,1,0,0,3,"21/09/19","dom","Grêmio","fora","venceu"
0.25,3,0.43,12,4,0.45,426,0.79,10,1,0,0,2,"29/09/19","qua","Grêmio","fora","perdeu"
0.25,3,0.33,12,4,0.48,531,0.87,10,4,0,0,2,"13/10/19","sáb","Grêmio","fora","venceu"
0.25,3,0.43,14,6,0.53,526,0.85,9,4,0,1,4,"19/10/19","sáb","Grêmio","fora","perdeu"
0.08,1,0.31,14,4,0.57,526,0.87,9,1,0,1,6,"30/10/19","sáb","Grêmio","fora","venceu"
0.29,3,0.43,13,4,0.57,504,0.85,13,1,0,0,4,"10/11/19","sex","Grêmio","fora","venceu"
0.14,1,0.31,9,4,0.57,496,0.87,13,2,0,0,4,"24/11/19","ter","Grêmio","fora","venceu"
0.29,2,0.43,7,3,0.57,496,0.85,13,2,0,0,4,"08/12/19","sex","Grêmio","fora","perdeu"
0.14,2,0.4,7,3,0.55,477,0.85,13,2,0,1,4,"12/08/20","seg","Grêmio","fora","empatou"
0.13,2,0.43,14,6,0.58,571,0.85,8,1,0,1,4,"19/08/20","ter","Grêmio","fora","empatou"
0.1,1,0.4,14,6,0.55,392,0.8,8,1,0,2,4,"23/08/20","dom","Grêmio","fora","empatou"
0.07,1,0.29,14,4,0.54,474,0.82,17,2,0,0,4,"06/09/20","qua","Grêmio","fora","empatou"
0.1,1,0.29,10,2,0.51,471,0.82,17,2,0,1,3,"10/09/20","seg","Grêmio","fora","venceu"
0.11,1,0.33,14,4,0.51,474,0.83,13,2,1,1,4,"26/09/20","dom","Grêmio","fora","perdeu"
0.11,1,0.33,9,4,0.49,471,0.83,11,2,1,1,4,"11/10/20","qui","Grêmio","fora","perdeu"
0.11,1,0.36,11,4,0.46,408,0.8,11,2,1,2,4,"17/10/20","sex","Grêmio","fora","empatou"
0.09,1,0.36,11,4,0.44,316,0.79,14,2,0,2,7,"25/10/20","seg","Grêmio","fora","venceu"
0.09,1,0.25,11,2,0.37,314,0.78,14,2,0,2,7,"08/11/20","qui","Grêmio","fora","venceu"
0.08,1,0.25,11,2,0.37,316,0.79,13,1,0,2,5,"22/11/20","dom","Grêmio","fora","empatou"
0.08,1,0.25,13,3,0.41,396,0.82,13,1,0,1,5,"12/12/20","qui","Grêmio","fora","empatou"
0,0,0.29,15,4,0.61,446,0.82,13,1,0,2,9,"19/12/20","sex","Grêmio","fora","empatou"
0,0,0.2,15,3,0.61,518,0.87,10,1,0,2,9,"09/01/21","qua","Grêmio","fora","empatou"
0,0,0.27,13,3,0.57,446,0.82,10,1,0,2,7,"15/01/21","qua","Grêmio","fora","empatou"
0.08,1,0.27,12,3,0.55,518,0.87,10,1,0,1,7,"24/01/21","dom","Grêmio","fora","perdeu"
0.08,1,0.33,11,3,0.55,467,0.82,12,2,0,1,5,"31/01/21","ter","Grêmio","fora","empatou"
0.08,1,0.33,12,3,0.55,469,0.87,12,2,0,1,3,"08/02/21","qui","Grêmio","fora","venceu"
0.11,1,0.33,13,3,0.54,468,0.86,15,2,0,1,2,"25/02/21","sex","Grêmio","fora","perdeu"
0.05,1,0.15,15,3,0.53,468,0.86,12,0,0,1,3,"30/05/21","ter","Grêmio","fora","perdeu"
0.17,2,0.25,13,3,0.54,468,0.83,18,0,0,0,4,"17/06/21","qua","Grêmio","fora","perdeu"
0,0,0.25,14,3,0.65,520,0.83,12,3,0,0,7,"30/06/21","sex","Grêmio","fora","perdeu"
0,0,0.25,13,3,0.67,600,0.87,12,3,0,1,6,"07/07/21","sáb","Grêmio","fora","perdeu"
0,0,0.33,13,4,0.67,600,0.88,12,2,0,1,6,"17/07/21","sex","Grêmio","fora","venceu"
0,0,0.23,12,3,0.53,465,0.88,12,2,0,0,5,"31/07/21","seg","Grêmio","fora","perdeu"
0,0,0.14,8,1,0.47,465,0.85,16,2,0,0,5,"14/08/21","qui","Grêmio","fora","perdeu"
0.11,1,0.14,8,1,0.43,416,0.8,16,2,0,0,4,"18/08/21","ter","Grêmio","fora","venceu"
